title,price,rating,availability,category,price_inr
"We Love You, Charlie Freeman",50.27,5,True,Unknown,5303.48
Untitled Collection: Sabbath Poems 2014,14.27,4,True,Unknown,1505.48
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,Unknown,4660.99
Unicorn Tracks,18.78,3,True,Unknown,1981.29
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True,Unknown,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,Unknown,1717.54
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,Unknown,3283.16
This One Summer,19.49,4,True,Unknown,2056.19
Thirst,17.27,5,True,Unknown,1821.98
The Torch Is Passed: A Harding Family Story,19.09,1,True,Unknown,2014.0
The Secret of Dreadwillow Carse,56.13,1,True,Unknown,5921.72
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True,Unknown,5951.25
The Past Never Ends,56.5,4,True,Unknown,5960.75
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True,Unknown,4770.71
The Nameless City (The Nameless City #1),38.16,4,True,Unknown,4025.88
The Murder That Never Was (Forensic Instincts #5),54.11,3,True,Unknown,5708.6
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True,Unknown,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True,Unknown,2520.4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,Unknown,1769.24
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True,Unknown,2172.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,Unknown,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True,Unknown,5914.33
The Death of Humanity: and the Case for Life,58.11,4,True,Unknown,6130.6
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,True,Unknown,5174.77
The Art Forger,40.76,3,True,Unknown,4300.18
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,True,Unknown,2081.52
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True,Unknown,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,Unknown,4413.06
Soul Reader,39.58,2,True,Unknown,4175.69
Security,39.25,2,True,Unknown,4140.88
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True,Unknown,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,Unknown,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,Unknown,2092.06
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,Unknown,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,Unknown,1435.86
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,Unknown,1407.37
"Pop Gun War, Volume 1: Gift",18.97,1,True,Unknown,2001.33
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True,Unknown,3827.54
Patience,10.16,3,True,Unknown,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,Unknown,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,Unknown,5107.25
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True,Unknown,4889.92
On a Midnight Clear,14.07,3,True,Unknown,1484.38
Obsidian (Lux #1),14.86,2,True,Unknown,1567.73
My Paris Kitchen: Recipes and Stories,33.37,2,True,Unknown,3520.54
Masks and Shadows,56.4,2,True,Unknown,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,Unknown,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,Unknown,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,Unknown,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,Unknown,2101.56
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True,Unknown,4231.6
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True,Unknown,5686.45
Join,35.67,5,True,Unknown,3763.19
In the Country We Love: My Family Divided,22.0,4,True,Unknown,2321.0
